sym,strat,score,entry,entry_date,sl,tg,qty,val,days,regime,tier,exit,exit_date,reason,costs,pnl
ASIANPAINT,MOM,13.0,2486.77,2020-12-21,2378.66,2648.95,20,49735.489489639454,8,2,NIFTY50,2646.3,2020-12-31,TARGET,150.75,3039.87
WIPRO,MOM,12.0,175.88,2020-12-31,167.76,188.05,284,49948.749800771926,4,2,NIFTY50,187.86,2021-01-05,TARGET,151.68,3251.19
DRREDDY,MOM,13.0,990.92,2020-12-22,940.74,1066.19,50,49546.033926034645,12,2,NIFTY50,1020.54,2021-01-07,TIME,147.8,1333.16
WIPRO,MOM,13.0,186.86,2021-01-06,178.47,199.44,267,49890.7189374673,4,2,NIFTY50,200.76,2021-01-11,TARGET_GAP,151.93,3558.64
ADANIENT,MOM,13.0,476.32,2021-01-01,432.45,542.12,104,49537.280732956235,12,2,NIFTY50,506.11,2021-01-18,TIME,150.03,2948.41
TATASTEEL,MOM,13.0,62.65,2021-01-08,58.65,68.64,798,49993.40925535664,7,2,NIFTY50,58.59,2021-01-18,SL,142.54,-3381.34
HEROMOTOCO,MOM,13.0,2619.3,2021-01-19,2483.88,2822.42,19,49766.62300480404,4,2,NIFTY50,2819.6,2021-01-22,TARGET,151.69,3653.96
DRREDDY,MOM,13.0,987.1,2021-01-19,943.57,1052.4,50,49354.93392819451,6,2,NIFTY50,942.63,2021-01-27,SL,142.07,-2365.75
WIPRO,MOM,13.0,206.67,2021-01-12,196.22,222.35,241,49808.10341636424,12,2,NIFTY50,199.32,2021-01-28,TIME,144.03,-1916.22
BAJAJFINSV,MOM,12.0,903.07,2021-01-29,845.9,988.82,55,49668.71673306365,3,2,NIFTY50,987.83,2021-02-02,TARGET,152.6,4509.26
APOLLOHOSP,MOM,14.0,2579.73,2021-01-25,2428.81,2806.12,19,49014.88060402356,12,2,NIFTY50,2718.2,2021-02-10,TIME,147.84,2483.15
HEROMOTOCO,MOM,14.0,2758.46,2021-01-28,2587.88,3014.33,18,49652.29022932707,12,2,NIFTY50,2898.72,2021-02-12,TIME,149.57,2375.11
ADANIENT,MOM,13.0,653.07,2021-02-11,601.44,730.5,76,49633.14333484391,3,2,NIFTY50,729.77,2021-02-15,TARGET,154.13,5675.03
WIPRO,MOM,12.0,198.93,2021-02-03,184.74,220.21,251,49931.29448872219,12,2,NIFTY50,199.8,2021-02-18,TIME,147.17,71.47
ADANIENT,MOM,13.0,758.92,2021-02-16,695.05,854.71,65,49329.579141106595,8,2,NIFTY50,853.86,2021-02-25,TARGET,153.71,6017.08
SUNPHARMA,MOM,13.0,602.14,2021-02-15,561.19,663.57,83,49977.58045409611,12,2,NIFTY50,584.01,2021-03-02,TIME,144.9,-1649.58
APOLLOHOSP,MOM,13.0,3053.27,2021-02-19,2825.69,3394.64,16,48852.30035742521,12,2,NIFTY50,2822.86,2021-03-08,SL,138.55,-3825.04
VEDL,MOM,13.0,98.41,2021-02-26,91.03,109.48,508,49993.08006455581,7,2,MIDCAP,109.26,2021-03-08,TARGET,154.74,5357.59
BEL,MOM,13.0,47.22,2021-03-03,43.42,52.93,1058,49963.5833327232,5,2,NIFTY50,43.38,2021-03-09,SL,141.27,-4207.61
DSSL,MOM,12.0,64.46,2021-03-09,55.91,77.28,775,49953.86976690279,6,2,SMALLCAP,76.97,2021-03-17,TARGET,160.48,9535.45
HINDZINC,MOM,13.0,202.96,2021-03-09,186.28,227.97,246,49927.15090992419,7,2,MIDCAP,185.91,2021-03-18,SL,141.0,-4335.93
DIXON,MOM,12.0,4233.04,2021-03-19,3853.81,4801.88,11,46563.46142360645,3,1,MIDCAP,3846.1,2021-03-23,SL,131.02,-4387.33
DIXON,MOM,14.0,3829.26,2021-03-24,3428.51,4430.39,13,49780.44055526163,2,2,MIDCAP,3421.65,2021-03-25,SL,139.03,-5437.92
GRASIM,MOM,13.0,1339.75,2021-03-10,1255.08,1466.75,37,49570.775804740784,12,2,NIFTY50,1363.85,2021-03-26,TIME,147.05,744.81
TATASTEEL,MOM,12.0,62.94,2021-03-26,57.66,70.86,794,49975.45425745697,3,1,NIFTY50,70.79,2021-03-31,TARGET,155.7,6076.52
DSSL,MOM,12.0,72.13,2021-03-18,61.68,87.82,693,49988.56787078548,12,1,SMALLCAP,74.43,2021-04-06,TIME,149.25,1442.64
ADANIENT,MOM,11.0,1041.91,2021-04-01,945.9,1185.94,47,48969.89355081985,3,1,NIFTY50,1184.75,2021-04-06,TARGET,153.41,6560.26
ADANIENT,MOM,12.0,1231.64,2021-04-07,1122.92,1394.72,40,49265.66727884976,1,1,NIFTY50,1121.8,2021-04-07,SL,138.78,-4532.5
SHRIRAMFIN,MOM,12.0,263.83,2021-03-30,240.81,298.36,189,49864.46805256424,9,1,NIFTY50,240.57,2021-04-12,SL,140.54,-4536.83
VEDL,MOM,13.0,114.82,2021-04-08,109.39,122.96,435,49945.61990141764,3,2,MIDCAP,108.09,2021-04-12,SL_GAP,142.83,-3069.96
HCLTECH,MOM,12.0,827.85,2021-04-07,781.63,897.19,60,49671.21689736019,5,1,NIFTY50,780.85,2021-04-13,SL,142.17,-2962.27
HINDALCO,MOM,13.0,324.78,2021-04-13,295.12,369.27,153,49691.431330421874,12,1,NIFTY50,351.32,2021-04-30,TIME,151.83,3908.7
ADANIPORTS,MOM,13.0,728.77,2021-04-13,648.55,849.09,68,49556.09405133264,12,1,NIFTY50,707.96,2021-04-30,TIME,143.79,-1558.63
INFY,MOM,13.0,1149.16,2021-04-15,1087.88,1241.07,43,49413.73433791694,12,1,NIFTY50,1163.86,2021-05-03,TIME,146.23,485.94
VEDL,MOM,12.0,122.7,2021-05-03,114.26,135.36,407,49937.359366944496,5,1,MIDCAP,135.09,2021-05-07,TARGET,153.93,4888.51
APOLLOHOSP,MOM,13.0,3275.49,2021-05-10,3067.41,3587.61,15,49132.316570649426,4,2,NIFTY50,3064.34,2021-05-14,SL,140.09,-3307.3
BAJAJFINSV,MOM,12.0,1088.74,2021-05-03,1017.18,1196.08,45,48993.33131535243,12,1,NIFTY50,1117.88,2021-05-19,TIME,145.94,1165.29
GRASIM,MOM,11.0,1375.72,2021-05-04,1286.6,1509.41,36,49526.06137287102,12,1,NIFTY50,1334.41,2021-05-20,TIME,143.6,-1630.91
VEDL,MOM,13.0,132.59,2021-05-17,121.59,149.1,377,49987.415533614294,12,1,MIDCAP,128.36,2021-06-01,TIME,144.8,-1741.38
ADANIENT,MOM,13.0,1299.44,2021-05-20,1181.08,1476.99,38,49378.90941128867,10,2,NIFTY50,1475.51,2021-06-02,TARGET,154.59,6536.18
WIPRO,MOM,12.0,235.83,2021-05-21,222.73,255.48,212,49995.940477628945,12,2,NIFTY50,253.01,2021-06-07,TIME,152.14,3490.15
ADANIENT,MOM,13.0,1561.77,2021-06-03,1438.23,1747.08,32,49976.6499740177,8,2,NIFTY50,1436.52,2021-06-14,SL_GAP,141.41,-4149.44
GRAVITA,MOM,13.0,108.17,2021-06-08,98.08,123.3,462,49973.07193451867,6,2,SMALLCAP,122.81,2021-06-15,TARGET,156.44,6605.76
SHRIRAMFIN,MOM,13.0,256.94,2021-06-02,237.55,286.02,194,49845.98695352186,12,2,NIFTY50,259.59,2021-06-17,TIME,147.34,366.07
ADANIENT,MOM,13.0,1507.85,2021-06-16,1326.57,1779.76,33,49758.96116818326,2,2,NIFTY50,1325.24,2021-06-17,SL,137.95,-6163.97
TECHM,MOM,12.0,898.37,2021-06-15,861.24,954.05,55,49410.19824509118,12,2,NIFTY50,918.54,2021-06-30,TIME,146.88,962.53
GRAVITA,MOM,13.0,121.96,2021-06-18,109.01,141.39,409,49880.666275150776,12,2,SMALLCAP,135.98,2021-07-05,TIME,154.72,5579.98
BAJFINANCE,MOM,13.0,597.14,2021-06-18,562.78,648.69,83,49562.68891141371,12,2,NIFTY50,594.26,2021-07-05,TIME,145.45,-384.11
TATASTEEL,MOM,12.0,102.08,2021-07-06,96.02,111.18,489,49916.971630732645,8,2,NIFTY50,111.07,2021-07-15,TARGET,152.96,4242.57
GRASIM,MOM,13.0,1461.52,2021-07-01,1393.28,1563.9,34,49691.82724028894,12,2,NIFTY50,1525.6,2021-07-16,TIME,149.21,2029.62
BSE,MOM,13.0,121.37,2021-07-16,112.21,135.09,411,49881.158640421374,2,2,MIDCAP,134.82,2021-07-19,TARGET,154.44,5373.44
POWERINDIA,MOM,13.0,1914.45,2021-07-06,1786.14,2106.92,26,49775.7390479474,12,2,MIDCAP,1918.11,2021-07-22,TIME,146.55,-51.38
GRASIM,MOM,13.0,1514.95,2021-07-20,1452.05,1609.3,33,49993.32473508081,6,2,NIFTY50,1450.6,2021-07-28,SL,144.09,-2267.71
ASIANPAINT,MOM,13.0,2990.68,2021-07-23,2876.77,3161.54,16,47850.85610584971,4,2,NIFTY50,2873.89,2021-07-28,SL,138.14,-2006.73
