sym,strat,score,entry,entry_date,sl,tg,qty,val,days,regime,tier,exit,exit_date,reason,costs,pnl
BAJFINANCE,MOM,14.0,411.34,2019-11-07,389.2,444.56,121,49772.55481527223,12,2,NIFTY50,404.37,2019-11-25,TIME,145.22,-988.51
ICICIBANK,MOM,13.0,482.87,2019-11-18,457.45,520.99,103,49735.3162589812,12,2,NIFTY50,492.14,2019-12-03,TIME,147.63,807.63
DIXON,MOM,14.0,618.46,2019-11-21,552.52,717.37,80,49476.73888297306,12,2,MIDCAP,686.34,2019-12-06,TIME,153.11,5277.11
BHARTIARTL,MOM,13.0,425.81,2019-11-26,389.27,480.61,117,49819.506567626224,12,2,NIFTY50,422.81,2019-12-11,TIME,146.05,-497.24
KOTAKBANK,MOM,13.0,327.62,2019-12-04,316.2,344.75,152,49798.23223129125,12,2,NIFTY50,344.41,2019-12-19,TARGET,150.03,2401.33
MCX,MOM,12.0,211.83,2019-12-09,197.93,232.67,236,49991.53130198033,12,2,MIDCAP,215.21,2019-12-24,TIME,148.16,649.98
BHARTIARTL,MOM,12.0,423.8,2019-12-12,392.23,471.15,117,49584.40314246361,12,2,NIFTY50,439.76,2019-12-30,TIME,148.45,1718.74
DIXON,MOM,13.0,736.35,2019-12-20,687.47,809.67,67,49335.53663111742,12,2,MIDCAP,808.05,2020-01-07,TARGET,151.82,4652.12
SBILIFE,MOM,13.0,987.21,2019-12-26,940.89,1056.68,50,49360.35421374924,12,2,NIFTY50,976.11,2020-01-10,TIME,144.42,-699.65
BHARTIARTL,MOM,12.0,440.16,2019-12-31,412.53,481.61,113,49738.17316767905,12,2,NIFTY50,446.78,2020-01-15,TIME,147.34,600.47
MCX,MOM,13.0,237.64,2020-01-08,223.05,259.53,210,49904.73974810341,7,2,MIDCAP,259.01,2020-01-16,TARGET,153.06,4334.84
BHARTIARTL,MOM,12.0,448.96,2020-01-16,424.49,485.67,111,49835.00679255787,3,2,NIFTY50,485.18,2020-01-20,TARGET,152.2,3868.7
DRREDDY,MOM,13.0,565.36,2020-01-13,546.38,593.81,88,49751.297510052435,8,2,NIFTY50,593.22,2020-01-22,TARGET,149.76,2301.58
ADANIENT,MOM,13.0,214.17,2020-01-17,201.53,233.14,233,49902.41969544684,7,2,NIFTY50,232.91,2020-01-27,TARGET,152.87,4212.82
BHARTIARTL,MOM,13.0,492.79,2020-01-23,465.86,533.19,101,49771.65976315594,4,2,NIFTY50,465.39,2020-01-28,SL,142.54,-2909.52
BAJAJFINSV,MOM,14.0,956.66,2020-01-21,926.15,1002.43,52,49746.48106634322,10,2,NIFTY50,892.1,2020-02-03,SL_GAP,141.64,-3498.98
ADANIENT,MOM,13.0,234.4,2020-02-07,217.74,259.39,213,49927.40528798682,12,2,NIFTY50,243.88,2020-02-25,TIME,149.67,1869.09
BAJAJFINSV,MOM,13.0,959.26,2020-02-07,914.49,1026.43,52,49881.69182838943,12,2,NIFTY50,948.88,2020-02-25,TIME,145.97,-685.78
TITAN,MOM,13.0,1241.16,2020-02-07,1180.8,1331.7,40,49646.322776194225,12,2,NIFTY50,1234.81,2020-02-25,TIME,145.68,-399.78
DRREDDY,MOM,11.0,742.14,2020-05-04,678.53,837.55,67,49723.30798898221,12,1,NIFTY50,711.72,2020-05-19,TIME,143.41,-2181.39
RELIANCE,MOM,11.0,641.86,2020-05-04,574.53,742.86,77,49423.600243078494,12,1,NIFTY50,632.69,2020-05-19,TIME,144.38,-850.58
NESTLEIND,MOM,10.0,814.82,2020-05-04,743.68,921.53,61,49704.13399242145,12,1,NIFTY50,753.9,2020-05-19,TIME,141.02,-3857.11
DIXON,MOM,12.0,909.84,2020-05-27,821.04,1043.03,54,49131.20586283185,5,1,MIDCAP,1040.94,2020-06-02,TARGET,154.39,6925.22
BHARTIARTL,MOM,12.0,536.8,2020-05-27,486.78,611.85,93,49922.85270890038,12,1,NIFTY50,526.99,2020-06-11,TIME,145.57,-1057.49
ULTRACEMCO,MOM,11.0,3690.39,2020-05-27,3377.6,4159.58,13,47975.08025004909,12,1,NIFTY50,3589.9,2020-06-11,TIME,139.3,-1445.67
DRREDDY,MOM,12.0,757.33,2020-06-03,704.36,836.78,66,49983.6943488425,12,1,NIFTY50,770.86,2020-06-18,TIME,148.27,744.68
DIXON,MOM,12.0,969.83,2020-06-12,881.28,1102.65,51,49461.145837731645,5,1,MIDCAP,1100.44,2020-06-18,TARGET,154.78,6506.57
