sym,strat,entry,entry_date,exit,exit_date,qty,reason,days,regime,costs,pnl
INFY,MOM,1173.05,2021-01-15,1113.81,2021-01-27,42,SL,8,2,141.44,-2629.73
HEROMOTOCO,MOM,2758.46,2021-01-28,3011.32,2021-02-17,9,TARGET_HALF,15,2,76.2,2199.5
HEROMOTOCO,MOM,2758.46,2021-01-28,2755.7,2021-02-26,9,SL,22,2,72.99,-97.82
DIXON,MOM,1933.65,2020-11-05,3637.49,2021-03-24,13,SL,95,1,104.86,22045.03
VEDL,MOM,100.53,2021-03-01,111.67,2021-04-06,248,TARGET_HALF,24,2,77.19,2684.59
VEDL,MOM,100.53,2021-03-01,103.03,2021-04-12,249,SL,28,2,74.5,548.3
INFY,MOM,1192.02,2021-03-31,1140.98,2021-04-15,41,SL,10,2,140.83,-2233.64
POWERINDIA,MOM,1697.5,2021-04-29,1911.11,2021-05-26,14,TARGET_HALF,19,2,74.07,2916.47
WIPRO,MOM,227.83,2021-04-29,247.45,2021-05-27,109,TARGET_HALF,20,2,76.04,2062.79
ADANIENT,MOM,321.4,2020-10-21,1423.9,2021-06-14,78,SL,159,1,178.05,85816.65
BAJFINANCE,MOM,606.07,2021-06-15,585.1,2021-06-30,82,TIME_DEAD,12,2,143.78,-1862.94
WIPRO,MOM,227.83,2021-04-29,244.46,2021-07-07,110,SL,49,2,76.27,1752.74
APOLLOHOSP,MOM,3576.7,2021-07-01,3857.62,2021-07-19,6,TARGET_HALF,13,2,65.47,1620.04
DIXON,MOM,4548.19,2021-07-08,4277.15,2021-07-29,10,SL,15,2,130.0,-2840.41
SBIN,MOM,404.26,2021-07-30,386.99,2021-08-10,123,SL,8,2,143.3,-2267.19
POWERINDIA,MOM,1697.5,2021-04-29,1764.75,2021-08-11,15,SL,73,2,76.31,932.4
GRAVITA,MOM,170.99,2021-08-11,197.5,2021-08-16,146,TARGET_HALF,4,2,78.83,3791.17
APOLLOHOSP,MOM,3576.7,2021-07-01,4284.63,2021-08-17,7,SL_GAP,33,2,80.56,4874.98
BAJAJFINSV,MOM,1418.36,2021-08-12,1519.61,2021-08-23,17,TARGET_HALF,7,2,73.33,1647.9
TECHM,MOM,1192.35,2021-08-18,1283.17,2021-09-23,20,TARGET_HALF,25,2,72.68,1743.63
TECHM,MOM,1192.35,2021-08-18,1191.16,2021-09-28,21,SL,28,2,73.61,-98.65
BSE,MOM,133.45,2021-09-29,148.74,2021-10-11,187,TARGET_HALF,9,2,77.39,2782.2
BSE,MOM,133.45,2021-09-29,134.67,2021-10-22,187,SL,17,2,73.72,155.29
BAJAJFINSV,MOM,1418.36,2021-08-12,1714.42,2021-10-29,18,SL,54,2,82.53,5246.48
GRAVITA,MOM,170.99,2021-08-11,192.36,2021-11-22,146,SL,69,2,77.79,3042.41
SBIN,MOM,465.61,2021-11-01,443.4,2021-11-22,107,SL,14,2,143.23,-2519.79
TECHM,MOM,1287.37,2021-10-25,1414.88,2021-12-17,19,TARGET_HALF,38,2,75.33,2347.43
VEDL,MOM,189.53,2022-01-04,176.53,2022-01-04,263,SL,1,2,141.85,-3561.84
ADANIENT,MOM,1723.63,2022-01-04,1867.75,2022-01-14,14,TARGET_HALF,9,2,73.8,1943.89
TECHM,MOM,1287.37,2021-10-25,1410.48,2022-01-18,19,SL,60,2,75.21,2263.85
VEDL,MOM,178.62,2022-01-05,172.94,2022-01-20,279,TIME_DEAD,12,2,144.37,-1729.87
ADANIENT,MOM,1723.63,2022-01-04,1721.91,2022-01-24,15,SL,15,2,76.01,-101.86
HFCL,MOM,89.38,2022-01-19,79.19,2022-01-24,559,SL,4,2,139.02,-5834.5
BSE,MOM,227.33,2022-01-21,208.85,2022-01-24,219,SL,2,2,140.79,-4187.59
BSE,MOM,212.77,2022-02-02,242.02,2022-02-09,117,TARGET_HALF,6,2,78.0,3344.83
SBIN,MOM,491.39,2022-02-02,463.06,2022-02-14,101,SL,9,2,141.99,-3003.68
BSE,MOM,212.77,2022-02-02,210.65,2022-02-24,117,SL_GAP,17,2,72.88,-320.42
HINDALCO,MOM,500.95,2022-02-02,544.06,2022-02-28,49,TARGET_HALF,19,2,75.15,2037.01
HINDALCO,MOM,500.95,2022-02-02,551.93,2022-04-01,50,SL,41,2,77.24,2471.68
HAL,MOM,693.71,2022-03-21,768.32,2022-04-07,36,TARGET_HALF,14,2,77.2,2608.77
BSE,MOM,287.1,2022-03-21,268.22,2022-04-19,174,SL,20,2,142.36,-3428.18
HINDALCO,MOM,556.39,2022-04-04,517.35,2022-04-21,89,SL,12,2,140.8,-3615.74
COALINDIA,MOM,148.77,2022-04-21,138.19,2022-04-25,336,SL,3,1,142.07,-3696.39
HAL,MOM,693.71,2022-03-21,745.05,2022-05-02,36,SL,29,2,76.04,1772.15
VEDL,MOM,230.72,2022-04-22,215.59,2022-05-04,216,SL,8,2,142.02,-3410.54
COALINDIA,MOM,141.08,2022-04-27,129.82,2022-05-10,354,SL,9,1,141.34,-4127.36
BEL,MOM,75.95,2022-07-08,82.71,2022-07-18,329,TARGET_HALF,7,1,76.6,2146.52
POWERINDIA,MOM,3337.39,2022-07-08,3162.29,2022-07-22,14,SL,11,1,134.01,-2585.47
ITC,MOM,242.17,2022-07-08,256.66,2022-08-02,103,TARGET_HALF,18,1,75.46,1417.33
EICHERMOT,MOM,3015.33,2022-07-25,2851.09,2022-08-02,16,SL,7,1,138.24,-2766.14
COALINDIA,MOM,158.93,2022-08-03,170.35,2022-08-26,157,TARGET_HALF,16,1,75.9,1716.93
COALINDIA,MOM,158.93,2022-08-03,166.55,2022-09-23,157,SL,35,1,75.06,1120.63
BEL,MOM,75.95,2022-07-08,98.29,2022-09-26,329,SL,54,1,83.75,7266.05
ITC,MOM,242.17,2022-07-08,269.51,2022-09-28,103,SL,56,1,77.3,2738.56
ITC,MOM,286.9,2022-10-20,281.12,2022-11-15,174,SL,17,2,145.43,-1151.22
HAL,MOM,1177.87,2022-10-20,1292.59,2022-11-17,21,TARGET_HALF,19,2,76.12,2332.99
COALINDIA,MOM,186.23,2022-11-16,180.08,2022-12-01,268,TIME_DEAD,12,2,144.51,-1792.87
GRAVITA,MOM,351.19,2022-10-20,392.28,2022-12-06,71,TARGET_HALF,32,2,77.41,2840.3
HAL,MOM,1177.87,2022-10-20,1245.46,2022-12-15,21,SL,39,2,74.73,1344.69
ICICIBANK,MOM,906.73,2022-12-02,883.67,2022-12-19,55,TIME_DEAD,12,2,144.91,-1413.42
HAL,MOM,1251.76,2022-12-16,1189.8,2022-12-23,39,SL,6,2,140.22,-2556.83
HINDUNILVR,MOM,2537.94,2022-12-20,2452.09,2022-12-23,19,SL,4,2,139.57,-1770.81
GRAVITA,MOM,351.19,2022-10-20,451.76,2023-02-27,71,SL,90,2,83.31,7056.96
DATAPATTNS,MOM,1431.29,2023-04-06,1601.99,2023-04-12,17,TARGET_HALF,4,2,75.62,2826.22
ITC,MOM,324.92,2023-04-06,342.38,2023-04-21,76,TARGET_HALF,10,2,74.49,1252.26
LT,MOM,2175.42,2023-04-06,2316.12,2023-05-02,11,TARGET_HALF,16,2,72.55,1475.17
LT,MOM,2175.42,2023-04-06,2173.24,2023-05-11,11,SL,23,2,70.36,-94.29
DATAPATTNS,MOM,1431.29,2023-04-06,1504.39,2023-05-15,17,SL,25,2,73.3,1169.39
EICHERMOT,MOM,3546.78,2023-05-16,3399.93,2023-05-19,14,SL,4,2,143.18,-2199.13
INDUSINDBK,MOM,1165.89,2023-05-12,1262.59,2023-05-29,21,TARGET_HALF,12,2,74.85,1955.77
HAL,MOM,1495.9,2023-05-22,1595.38,2023-06-05,16,TARGET_HALF,11,2,72.63,1519.1
ITC,MOM,324.92,2023-04-06,395.68,2023-07-25,77,SL,75,2,81.19,5367.62
DSSL,MOM,566.39,2023-07-26,535.22,2023-08-14,88,SL,14,2,142.78,-2885.56
GRAVITA,MOM,744.22,2023-08-16,703.89,2023-09-13,67,SL,21,2,142.89,-2845.31
GRAVITA,MOM,756.14,2023-09-14,834.72,2023-09-18,33,TARGET_HALF,3,2,77.02,2516.04
HAL,MOM,1495.9,2023-05-22,1856.75,2023-09-25,17,SL,88,2,83.37,6051.01
BAJAJ-AUTO,MOM,4785.25,2023-09-26,5051.28,2023-10-19,5,TARGET_HALF,17,2,72.23,1257.94
GRAVITA,MOM,756.14,2023-09-14,1020.11,2023-12-13,33,SL,60,2,85.55,8625.35
INDUSINDBK,MOM,1165.89,2023-05-12,1558.37,2024-01-19,21,SL,173,2,83.52,8158.5
DIXON,MOM,6364.81,2023-12-14,5980.32,2024-01-23,7,SL,27,2,127.3,-2818.74
BPCL,MOM,207.56,2024-01-24,224.72,2024-01-30,120,TARGET_HALF,4,2,76.14,1982.47
LT,MOM,3544.83,2024-01-23,3412.97,2024-01-31,14,SL,6,2,143.4,-1989.39
MCX,MOM,678.28,2024-02-01,751.87,2024-02-05,36,TARGET_HALF,3,2,75.52,2573.84
MCX,MOM,678.28,2024-02-01,676.92,2024-02-13,37,SL,9,2,73.75,-123.94
SHRIRAMFIN,MOM,442.57,2024-02-14,485.29,2024-02-26,56,TARGET_HALF,9,2,76.24,2316.32
SHRIRAMFIN,MOM,442.57,2024-02-14,442.13,2024-02-27,56,SL,10,2,72.87,-97.65
BAJAJ-AUTO,MOM,4785.25,2023-09-26,7746.44,2024-03-15,5,SL,116,2,91.04,14714.9
BPCL,MOM,207.56,2024-01-24,258.54,2024-03-15,120,SL,36,2,81.8,6035.26
HAL,MOM,3077.08,2024-03-18,2846.67,2024-03-20,16,SL,3,2,139.67,-3826.31
DIXON,MOM,6739.1,2024-02-28,7315.54,2024-03-27,3,TARGET_HALF,19,2,61.88,1667.44
BAJAJ-AUTO,MOM,7967.13,2024-03-18,8674.82,2024-03-27,3,TARGET_HALF,7,2,73.26,2049.8
POWERINDIA,MOM,7249.83,2024-03-22,8172.38,2024-04-18,3,TARGET_HALF,16,2,67.84,2699.82
DIXON,MOM,6739.1,2024-02-28,7232.68,2024-04-19,4,SL,33,2,82.05,1892.25
BAJAJ-AUTO,MOM,7967.13,2024-03-18,8236.92,2024-04-25,3,SL,25,2,71.43,737.95
DIXON,MOM,7894.88,2024-04-23,8560.52,2024-04-26,3,TARGET_HALF,4,2,72.45,1924.48
HAL,MOM,3941.9,2024-04-26,3713.5,2024-05-06,12,SL,6,2,135.32,-2876.14
COALINDIA,MOM,407.48,2024-05-07,382.78,2024-05-13,122,SL,5,2,142.02,-3155.81
HAL,MOM,4554.77,2024-05-17,4986.36,2024-05-24,5,TARGET_HALF,5,2,70.0,2087.94
DIXON,MOM,7894.88,2024-04-23,8790.63,2024-06-04,3,SL,29,2,73.42,2613.83
HAL,MOM,4554.77,2024-05-17,4545.66,2024-06-04,5,SL,12,2,66.92,-112.47
DIXON,MOM,9560.42,2024-06-06,10713.75,2024-06-13,2,TARGET_HALF,6,2,59.47,2247.19
POWERINDIA,MOM,7249.83,2024-03-22,11865.43,2024-07-15,3,SL,75,2,83.3,13763.51
DIXON,MOM,9560.42,2024-06-06,11456.01,2024-07-19,3,SL,30,2,92.3,5594.46
HEROMOTOCO,MOM,5297.05,2024-06-06,5057.72,2024-07-19,9,SL,30,2,137.22,-2291.21
DSSL,MOM,1346.71,2024-07-16,1200.99,2024-07-23,37,SL,5,2,139.04,-5530.8
BEL,MOM,301.81,2024-07-22,280.03,2024-07-23,165,SL,2,2,141.46,-3735.21
COALINDIA,MOM,429.49,2024-07-22,469.91,2024-08-01,58,TARGET_HALF,9,2,76.54,2267.8
EICHERMOT,MOM,4806.64,2024-07-24,4587.27,2024-08-02,10,SL,8,2,138.32,-2332.04
DSSL,MOM,1269.01,2024-08-05,1465.19,2024-08-13,19,TARGET_HALF,7,2,76.12,3651.22
GRAVITA,MOM,1717.12,2024-07-24,1985.31,2024-08-16,14,TARGET_HALF,17,2,75.95,3678.67
COALINDIA,MOM,429.49,2024-07-22,442.53,2024-09-05,58,SL,33,2,74.32,681.97
BPCL,MOM,333.85,2024-09-06,316.4,2024-09-11,149,SL,4,2,142.69,-2742.25
BAJAJ-AUTO,MOM,11052.63,2024-09-12,11681.64,2024-09-23,2,TARGET_HALF,8,2,66.78,1191.23
DSSL,MOM,1269.01,2024-08-05,1390.87,2024-09-24,20,SL,36,2,78.06,2359.2
BAJAJ-AUTO,MOM,11052.63,2024-09-12,11271.94,2024-10-03,2,SL_GAP,15,2,65.63,372.99
HFCL,MOM,156.56,2024-09-25,141.5,2024-10-03,319,SL,6,2,140.2,-4945.48
GRAVITA,MOM,1717.12,2024-07-24,2229.82,2024-10-07,15,SL,52,2,86.49,7603.94
BPCL,MOM,315.56,2024-10-04,294.83,2024-10-23,158,SL,14,2,142.09,-3416.66
